_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
649f88fbd221ff18916db813||61.58|91.86|63.98|66.93|154,2,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688176891000
649f88c6d221ff18916db74a||69.18|95.58|69.18|69|173,0,0,0|time|30|-1|1|30.01|0|19.47|false|false|english|none|normal|false|false|false||1688176838000
649f8890d221ff1891671a84||61.56|89.44|65.96|66.95|154,3,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688176784000
649f8870d221ff18916719e2||69.18|96.69|69.18|73.8|173,0,0,0|time|30|-1|3|30.01|0|6.03|false|false|english|none|normal|false|false|false||1688176752000
649f8847d221ff189167192d||66.38|94.94|66.38|62.85|166,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688176711000
649f87a3d221ff1891671646||75.97|97.97|75.97|76.84|190,0,0,0|time|30|-1|1|30.01|0|8.48|false|false|english|none|normal|false|false|false||1688176547000
649f8725d221ff1891671421||69.55|95.16|70.75|64.09|174,1,0,0|time|30|-1|1|30.02|0|10.78|false|false|english|none|normal|false|false|false||1688176421000
649f86e4d221ff189167130f||70.8|96.77|72.8|68.18|177,2,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1688176356000
649f86c4d221ff1891671286||68.78|95.72|70.38|69.37|172,0,1,0|time|30|-1|2|30.01|0|6.08|false|false|english|none|normal|false|false|false||1688176324000
649f862bd221ff1891670fec||69.53|94.76|74.73|73.88|174,4,1,0|time|30|-1|2|30.03|0|14.42|false|false|english|none|normal|false|false|false||1688176171000
649f85fad221ff1891670f05||69.98|95.7|69.98|67.91|175,0,0,0|time|30|-1|3|30.01|0|21.06|false|false|english|none|normal|false|false|false||1688176122000
649f858ad221ff1891670d07||69.95|96.69|71.55|71.14|175,3,0,1|time|30|-1|5|30.02|0|32.97|false|false|english|none|normal|false|false|false||1688176010000
649f81ced221ff1891606144||74.38|96.37|74.38|72|186,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688175054000
649f8132d221ff189159c2bc||53.96|86.88|55.96|58.85|135,1,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688174898000
649f8113d221ff189159c219||63.98|91.62|67.98|69.87|160,5,1,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688174867000
649f80f3d221ff189159c18d||65.98|93.44|68.38|69.09|165,1,0,0|time|30|-1|2|30.01|0|39.04|false|false|english|none|normal|false|false|false||1688174835000
649f80aad221ff189159c05e||70.78|97.25|70.78|72.44|177,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688174762000
649f12ba35448da8d3391b27||66.38|92.51|73.18|72|166,5,2,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688146618000
649eba1035448da8d391084a||62.78|93.64|65.18|62.91|157,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688123920000
649eb9f135448da8d391076f||65.18|90.71|67.18|67.12|163,1,0,0|time|30|-1|1|30.01|0|1.42|false|false|english|none|normal|false|false|false||1688123889000
